market,timeframe,period_yrs,algorithm,model_id,seed_wr,seed_sharpe,seed_pnl,seed_dd,seed_rob,seed_trades,opt_wr,opt_sharpe,opt_pnl,opt_dd,opt_rob,opt_trades,winner,delta_rob
NQ1!,3h,1,AlgorithmA,1,0.7000,0.8549,5.7331,-2.8130,62.4100,10,0.7500,1.7248,18.2626,-2.4276,75.9700,12,optimizer,13.5600
NQ1!,3h,1,AlgorithmA,2,0.7000,0.8549,5.7331,-2.8130,62.4100,10,0.6667,2.4518,8.2654,-1.6534,79.4700,12,optimizer,17.0600
NQ1!,3h,1,AlgorithmA,3,0.7000,0.8549,5.7331,-2.8130,62.4100,10,0.7500,1.7248,18.2626,-2.4276,75.9700,12,optimizer,13.5600
NQ1!,3h,2,AlgorithmA,0,0.7333,1.2506,9.0950,-3.4322,66.5700,15,0.8182,3.1905,9.5353,-1.7013,86.7200,11,optimizer,20.1500
NQ1!,3h,2,AlgorithmA,1,0.7333,1.2506,9.0950,-3.4322,66.5700,15,0.8182,3.1905,9.5353,-1.7013,86.7200,11,optimizer,20.1500
NQ1!,3h,2,AlgorithmA,2,0.7333,1.2506,9.0950,-3.4322,66.5700,15,0.8182,3.1905,9.5353,-1.7013,86.7200,11,optimizer,20.1500
NQ1!,3h,2,AlgorithmA,3,0.7333,1.2506,9.0950,-3.4322,66.5700,15,0.8182,3.1905,9.5353,-1.7013,86.7200,11,optimizer,20.1500
NQ1!,4h,1,AlgorithmA,3,0.6667,0.0000,2.4657,-1.6220,0.0000,3,0.9130,4.3018,14.3794,-2.4063,88.4100,23,optimizer,88.4100
NQ1!,4h,2,AlgorithmA,0,0.7143,1.3751,4.2264,-2.0937,0.0000,7,0.7308,2.9219,34.7902,-4.1901,82.0200,26,optimizer,82.0200
NQ1!,4h,2,AlgorithmA,1,0.7143,1.3751,4.2264,-2.0937,0.0000,7,0.7308,2.9219,34.7902,-4.1901,82.0200,26,optimizer,82.0200
NQ1!,4h,2,AlgorithmA,2,0.7143,1.3751,4.2264,-2.0937,0.0000,7,0.7308,2.9219,34.7902,-4.1901,82.0200,26,optimizer,82.0200
NQ1!,4h,2,AlgorithmA,3,0.7143,1.3751,4.2264,-2.0937,0.0000,7,0.7308,2.9219,34.7902,-4.1901,82.0200,26,optimizer,82.0200
XU100,3h,2,AlgorithmA,3,1.0000,0.0000,5.4407,0.0000,0.0000,2,0.6471,4.3550,10.7682,-3.0429,81.4900,17,optimizer,81.4900
XU100,4h,2,AlgorithmA,2,0.5000,0.0000,1.4650,-3.5899,0.0000,4,0.7692,1.7154,5.9340,-3.1583,69.0800,13,optimizer,69.0800
XU100,4h,2,AlgorithmA,3,0.5000,0.0000,1.4650,-3.5899,0.0000,4,0.7692,1.7154,5.9340,-3.1583,69.0800,13,optimizer,69.0800
XAUUSD,3h,1,AlgorithmA,1,0.2000,-0.4921,-8.2330,-13.2554,0.0000,5,0.5455,1.4414,9.8512,-3.4809,64.5400,11,optimizer,64.5400
XAUUSD,3h,1,AlgorithmA,2,0.2000,-0.4921,-8.2330,-13.2554,0.0000,5,0.6364,3.0913,8.1501,-2.5338,80.1400,11,optimizer,80.1400
XAUUSD,3h,1,AlgorithmA,3,0.2000,-0.4921,-8.2330,-13.2554,0.0000,5,0.5455,1.4414,9.8512,-3.4809,64.5400,11,optimizer,64.5400
XAUUSD,3h,2,AlgorithmA,0,0.2000,-0.0684,-3.2320,-13.2554,30.9400,10,0.5556,1.3307,13.8763,-4.8382,62.6900,18,optimizer,31.7500
XAUUSD,3h,2,AlgorithmA,1,0.2000,-0.0684,-3.2320,-13.2554,30.9400,10,0.5556,1.3307,13.8763,-4.8382,62.6900,18,optimizer,31.7500
XAUUSD,3h,2,AlgorithmA,2,0.2000,-0.0684,-3.2320,-13.2554,30.9400,10,0.6429,2.3214,22.1980,-5.6161,74.7200,28,optimizer,43.7800
XAUUSD,3h,2,AlgorithmA,3,0.2000,-0.0684,-3.2320,-13.2554,30.9400,10,0.5556,1.3307,13.8763,-4.8382,62.6900,18,optimizer,31.7500
XAUUSD,4h,1,AlgorithmA,2,0.0000,0.0000,-14.7181,-14.1009,0.0000,3,0.3000,-0.9670,-2.5958,-4.1781,39.8100,10,optimizer,39.8100
XAUUSD,4h,2,AlgorithmA,0,0.2222,-0.2018,-7.0449,-11.5585,0.0000,9,0.7273,1.5214,32.5535,-3.6246,73.0800,11,optimizer,73.0800
XAUUSD,4h,2,AlgorithmA,1,0.2222,-0.2018,-7.0449,-11.5585,0.0000,9,0.7273,1.5214,32.5535,-3.6246,73.0800,11,optimizer,73.0800
XAUUSD,4h,2,AlgorithmA,2,0.2222,-0.2018,-7.0449,-11.5585,0.0000,9,0.7273,1.5214,32.5535,-3.6246,73.0800,11,optimizer,73.0800
XAUUSD,4h,2,AlgorithmA,3,0.2222,-0.2018,-7.0449,-11.5585,0.0000,9,0.7273,1.5214,32.5535,-3.6246,73.0800,11,optimizer,73.0800
