market,model,walk_id,train_sharpe,test_sharpe,test_wr,test_dd,test_trades
NQ1!,M0,1,0.0,0.0,1.0,0.0,1
NQ1!,M0,2,0.0,0.0,0.0,0.0,0
NQ1!,M0,3,3.13,3.84,0.8,-3.3,5
NQ1!,M1,1,0.0,0.0,1.0,0.0,1
NQ1!,M1,2,0.0,0.0,0.0,0.0,1
NQ1!,M1,3,3.13,3.84,0.8,-7.6,5
NQ1!,M2,1,0.0,0.0,0.5,0.0,4
NQ1!,M2,2,3.26,0.0,0.75,0.0,4
NQ1!,M2,3,3.13,3.84,0.8,-9.5,5
NQ1!,M3,1,0.0,0.0,1.0,0.0,1
NQ1!,M3,2,0.0,0.0,0.0,0.0,0
NQ1!,M3,3,3.13,3.84,0.8,-3.3,5
XU100,M2,1,-3.16,0.0,0.25,0.0,4
XU100,M2,2,-2.33,0.0,0.333,0.0,3
XU100,M2,3,-1.13,0.0,0.0,-26.1,2
XAUUSD,M2,1,-0.03,0.0,0.0,0.0,4
XAUUSD,M2,2,1.3,0.0,0.333,0.0,3
XAUUSD,M2,3,-0.58,0.0,0.25,-15.0,4
